epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.90245,0.82959,2.85335,1.01698,0.01008,1,0.65494,0.55379,0.55336,2.77351,0.77792,0.00024293,0.00024293,0.00024293
2,3.29097,0.62884,1.2506,0.91734,0.01029,1,0.81342,0.7065,0.52463,2.62788,0.79156,0.000498216,0.000498216,0.000498216
3,4.60895,0.5916,0.83624,0.92437,0.71109,0.69167,0.86013,0.76226,0.52283,2.496,0.80766,0.000751512,0.000751512,0.000751512
4,5.88403,0.56285,0.77576,0.91212,1,0.4728,0.995,0.88952,0.49759,1.98253,0.84556,0.00100282,0.00100282,0.00100282
5,7.14276,0.56808,0.72196,0.91365,0.9871,1,0.995,0.86756,0.53349,1.17778,0.86221,0.00125214,0.00125214,0.00125214
6,8.41966,0.53433,0.65831,0.90217,0.99323,1,0.995,0.89341,0.486,0.68261,0.83606,0.00140137,0.00140137,0.00140137
7,9.6709,0.53842,0.64892,0.89207,0.99475,0.99891,0.995,0.90544,0.44266,0.60866,0.8447,0.00139584,0.00139584,0.00139584
8,10.9244,0.51852,0.62381,0.90306,0.99708,0.99765,0.995,0.90091,0.43755,0.52711,0.85063,0.00139032,0.00139032,0.00139032
9,12.1509,0.50088,0.59852,0.89271,0.99676,1,0.995,0.90778,0.42903,0.48527,0.84119,0.00138479,0.00138479,0.00138479
10,13.4018,0.50325,0.58039,0.8919,0.99434,1,0.995,0.9047,0.45969,0.48979,0.84437,0.00137926,0.00137926,0.00137926
11,14.7398,0.51067,0.57916,0.89949,0.99712,1,0.995,0.91424,0.43292,0.43979,0.84993,0.00137374,0.00137374,0.00137374
12,15.997,0.48782,0.53961,0.90023,0.99605,1,0.995,0.9002,0.45104,0.42708,0.86326,0.00136821,0.00136821,0.00136821
13,17.2406,0.51395,0.53673,0.90238,0.99793,1,0.995,0.91614,0.43695,0.41297,0.85243,0.00136269,0.00136269,0.00136269
14,18.4985,0.48256,0.5048,0.89025,0.99801,1,0.995,0.93228,0.39917,0.40688,0.84468,0.00135716,0.00135716,0.00135716
15,19.7623,0.44833,0.47031,0.87896,0.99718,1,0.995,0.93176,0.37859,0.3703,0.83467,0.00135163,0.00135163,0.00135163
16,21.0746,0.43902,0.47154,0.87771,0.99797,1,0.995,0.93679,0.39217,0.38047,0.84641,0.00134611,0.00134611,0.00134611
17,22.3369,0.44896,0.46119,0.87956,0.99023,1,0.995,0.92866,0.39714,0.37878,0.85052,0.00134058,0.00134058,0.00134058
18,23.5901,0.46229,0.4549,0.88717,0.99849,1,0.995,0.90711,0.44703,0.35262,0.84983,0.00133505,0.00133505,0.00133505
19,24.8291,0.46221,0.45326,0.88015,0.99752,1,0.995,0.92285,0.38277,0.32259,0.83883,0.00132953,0.00132953,0.00132953
20,26.072,0.45678,0.43998,0.88743,0.99846,1,0.995,0.93218,0.40401,0.30237,0.84006,0.001324,0.001324,0.001324
21,27.4303,0.46068,0.43045,0.89197,0.99756,1,0.995,0.92182,0.40501,0.33,0.83337,0.00131848,0.00131848,0.00131848
22,28.6725,0.43332,0.41395,0.87608,0.9974,1,0.995,0.92318,0.41271,0.31352,0.85003,0.00131295,0.00131295,0.00131295
23,29.9044,0.42966,0.39606,0.87035,0.99843,1,0.995,0.93402,0.38713,0.31644,0.8472,0.00130742,0.00130742,0.00130742
24,31.137,0.43312,0.38429,0.881,0.99864,1,0.995,0.94481,0.36826,0.2751,0.84402,0.0013019,0.0013019,0.0013019
25,32.3686,0.42161,0.38296,0.8729,0.99843,1,0.995,0.93384,0.36117,0.27342,0.83713,0.00129637,0.00129637,0.00129637
26,33.7314,0.44463,0.385,0.87762,0.9982,1,0.995,0.93776,0.37274,0.27847,0.83968,0.00129084,0.00129084,0.00129084
27,35.0203,0.44791,0.38793,0.88676,0.99799,1,0.995,0.93361,0.37843,0.29162,0.83451,0.00128532,0.00128532,0.00128532
28,36.2714,0.44931,0.38195,0.88255,0.9983,1,0.995,0.9471,0.36284,0.26313,0.83237,0.00127979,0.00127979,0.00127979
29,37.5063,0.40947,0.35838,0.8714,0.9978,1,0.995,0.93139,0.39188,0.25603,0.84513,0.00127427,0.00127427,0.00127427
30,38.7398,0.44876,0.37478,0.89128,0.99863,1,0.995,0.93637,0.38348,0.26511,0.83776,0.00126874,0.00126874,0.00126874
31,40.0852,0.44208,0.35864,0.88755,0.99674,1,0.995,0.94189,0.35755,0.27102,0.82842,0.00126321,0.00126321,0.00126321
32,41.3408,0.4299,0.34708,0.8797,0.998,1,0.995,0.94057,0.33897,0.23871,0.82802,0.00125769,0.00125769,0.00125769
